published,title,url,views
2015-09-27,Fictitious Self-Play in Extensive-Form Games,http://videolectures.net/icml2015_heinrich_extensive_form_games,125
2016-05-27,The Goldilocks Principle: Reading Children's Books with Explicit Memory Representations,http://videolectures.net/iclr2016_hill_goldilocks_principle,124
2016-03-07,Learning networks of stochastic differential equations,http://videolectures.net/netadis2015_bento_ayres_pereira_equations,124
2015-07-28,Reachability and Learning for Hybrid Systems,http://videolectures.net/rldm2015_tomlin_hybrid_systems,124
2015-07-28,The Online Discovery Problem and Its Application to Lifelong Reinforcement Learning,http://videolectures.net/rldm2015_li_discovery_problem,122
2016-02-10,Mutual-Structure for Joint Filtering,http://videolectures.net/iccv2015_shen_joint_filtering,121
2016-02-10,Structured Indoor Modeling,http://videolectures.net/iccv2015_ikehata_indoor_modeling,121
2016-02-10,Panoptic Studio: A Massively Multiview System for Social Motion Capture,http://videolectures.net/iccv2015_joo_panoptic_studio,119
2015-07-15,Assigning Semantic Labels to Data Sources,http://videolectures.net/eswc2015_krishnamurthy_data_sources,119
2016-10-24,Do We Really Need to Collect Millions of Faces for Effective Face Recognition?,http://videolectures.net/eccv2016_masi_face_recognition,118
2015-12-05,Deep Learning with Limited Numerical Precision,http://videolectures.net/icml2015_gupta_numerical_precision,117
2015-09-27,Multi-instance multi-label learning in the presence of novel class instances,http://videolectures.net/icml2015_raich_novel_class_instances,114
2016-10-24,Learning Recursive Filters for Low-Level Vision via a Hybrid Neural Network,http://videolectures.net/eccv2016_liu_recursive_filters,114
2016-08-31,"People, Computers, and The Hot Mess of Real Data",http://videolectures.net/kdd2016_hellerstein_people_computers,113
2015-09-27,Functional Subspace Clustering with Application to Time Series,http://videolectures.net/icml2015_liu_functional_subspace_clustering,112
2016-02-10,Learning Image Representations Tied to Ego-Motion,http://videolectures.net/iccv2015_jayaraman_image_representations,112
2015-12-05,"Show, Attend and Tell: Neural Image Caption Generation with Visual Attention",http://videolectures.net/icml2015_xu_visual_attention,112
2015-12-05,Coordinate Descent Converges Faster with the Gauss-Southwell Rule Than Random Selection,http://videolectures.net/icml2015_nutini_random_selection,111
2015-09-27,Training Deep Convolutional Neural Networks to Play Go,http://videolectures.net/icml2015_clark_deep_convolutional_neural_networks,110
2015-02-17,Statistical Relational Learning,http://videolectures.net/mlpmsummerschool2014_tresp_statistical_learning,110
2016-02-10,Piecewise Flat Embedding for Image Segmentation,http://videolectures.net/iccv2015_yu_image_segmentation,109
2016-09-09,Healthcare Data Mining with Matrix Models,http://videolectures.net/kdd2016_tutorial_matrix_models,109
2016-09-16,MXNet,http://videolectures.net/kdd2016_tutorial_mxnet,108
2016-10-24,Keep it SMPL: Automatic Estimation of 3D Human Pose and Shape from a Single Image,http://videolectures.net/eccv2016_kanazawa_single_image,108
2015-07-28,"Practical RL: Representation, interaction, synthesis, and morality (PRISM)",http://videolectures.net/rldm2015_stone_practical_rl,107
2015-09-27,Large-Scale Markov Decision Problems with KL Control Cost and its Application to Crowdsourcing,http://videolectures.net/icml2015_malek_crowdsourcing,107
2015-12-09,Deep Edge-Aware Filters,http://videolectures.net/icml2015_ren_deep_filters,107
2016-07-28,Adaptive Linked Data-driven Web Components: Building Flexible and Reusable Semantic Web Interfaces,http://videolectures.net/eswc2016_khalili_linked_data,107
2016-09-05,Large Scale Machine Learning at Verizon: Theory and Applications,http://videolectures.net/kdd2016_stribling_scale_machine,106
2016-02-10,Where to Buy It: Matching Street Clothing Photos in Online Shops,http://videolectures.net/iccv2015_berg_street_clothing,106
2015-07-28,Reinforcement learning objectives constrain the cognitive map,http://videolectures.net/rldm2015_stachenfeld_cognitive_map,104
2016-11-10,Is the Semantic Web what we expected? Adoption Patterns and Content-driven Challenges,http://videolectures.net/iswc2016_bizer_adoption_patterns,104
